WO-ML-3000,AST-001,Corrective,Corrective maintenance - bearing wear,MECH-BEAR,Normal wear on main drive bearings,High,Completed,2024-06-02,2024-06-02,2024-06-03,Luis Garcia,5.9,1404.67,445.89,1850.56,5.9,7.7
WO-ML-3001,AST-001,Corrective,Corrective maintenance - bearing wear,MECH-BEAR,Normal wear on main drive bearings,High,Completed,2024-09-22,2024-09-22,2024-09-23,Mike Thompson,4.7,977.96,349.36,1327.32,4.7,6.1
WO-ML-3002,AST-001,Corrective,Corrective maintenance - motor overload,ELEC-MOTOR,Motor operating above rated load capacity,Critical,Completed,2024-12-20,2024-12-20,2024-12-21,Mike Thompson,5.3,2492.6,397.54,2890.13,5.3,6.9
WO-ML-3003,AST-002,Corrective,Corrective maintenance - bearing wear,MECH-BEAR,Normal wear on main drive bearings,High,Completed,2024-04-29,2024-04-29,2024-04-30,Mike Thompson,4.5,1638.12,335.55,1973.67,4.5,5.8
WO-ML-3004,AST-002,Corrective,Corrective maintenance - bracket loose,VIB-09,Pneumatic actuator bracket mounting bolts loosened,High,Completed,2024-07-11,2024-07-11,2024-07-12,Sarah Chen,5.7,1473.39,423.79,1897.18,5.7,7.3
WO-ML-3005,AST-002,Corrective,Corrective maintenance - motor overload,ELEC-MOTOR,Motor operating above rated load capacity,Critical,Completed,2024-09-30,2024-09-30,2024-10-01,Mike Thompson,4.3,1443.06,318.78,1761.84,4.3,5.5
WO-ML-3006,AST-003,Corrective,Corrective maintenance - bracket loose,VIB-09,Pneumatic actuator bracket mounting bolts loosened,High,Completed,2024-04-07,2024-04-07,2024-04-08,Robert Wilson,4.2,1213.15,312.0,1525.15,4.2,5.4
WO-ML-3007,AST-003,Corrective,Corrective maintenance - electrical fault,ELEC-CTRL,Control board component degradation,Critical,Completed,2024-07-03,2024-07-03,2024-07-04,Mike Thompson,2.0,231.46,150.09,381.55,2.0,2.6
WO-ML-3008,AST-003,Corrective,Corrective maintenance - bearing wear,MECH-BEAR,Normal wear on main drive bearings,High,Completed,2024-10-09,2024-10-09,2024-10-10,Mike Thompson,5.6,1366.38,418.09,1784.48,5.6,7.2
WO-ML-3009,AST-003,Corrective,Corrective maintenance - bearing wear,MECH-BEAR,Normal wear on main drive bearings,High,Completed,2025-01-05,2025-01-05,2025-01-06,Sarah Chen,2.0,2463.33,152.96,2616.28,2.0,2.7
WO-ML-3010,AST-004,Corrective,Corrective maintenance - bearing wear,MECH-BEAR,Normal wear on main drive bearings,High,Completed,2024-05-09,2024-05-09,2024-05-10,Mike Thompson,7.1,201.0,535.07,736.07,7.1,9.3
